name,url,star,comment,avg_price,taste,environment,services,recommend
蜀城巷子老成都火锅(宜山路店),http://www.dianping.com/shop/110269910,准五星商户,545,122,8.6,8.4,8.5,"蜀城嫩鲜牛肉,毛肚,鸭血"
旬野菜日本料理和牛寿喜锅专门店(浦东店),http://www.dianping.com/shop/98281287,五星商户,602,313,8.8,9.1,9,"安格斯牛肉寿喜锅,刺身拼盘,澳洲和牛寿喜烧"
小肥羊(光启城时尚购物中心店),http://www.dianping.com/shop/72351070,准五星商户,4308,1,9,8.9,8.9,"特色羔羊肉,鸳鸯锅,招牌豪气羊肉串"
薪火重庆本味火锅,http://www.dianping.com/shop/114858370,准五星商户,128,12,8.4,8.7,8.9,"特色鲜鸭血,豚骨鸳鸯锅,现杀牛蛙"
蜀大侠(江宁路店),http://www.dianping.com/shop/98763397,五星商户,1529,133,9,9,8.9,"贵妃牛肉,大侠水牛毛肚,冰川鹅肠"
蜀大侠火锅(东建路店),http://www.dianping.com/shop/102302058,五星商户,1343,136,9.1,9.1,9,"贵妃牛肉,大侠水牛毛肚,红糖糍粑"
青岛1903,http://www.dianping.com/shop/102094122,五星商户,131,361,9.1,9.2,8.7,"ipa青岛啤酒,庭涛烧肉五种组合,刺身"
这一锅,http://www.dianping.com/shop/19357151,五星商户,4278,239,9,9.2,9.1,"翠玉无骨牛肉,上选松阪猪肉,鴨血豆腐"
渝利火锅(城开YOYO店),http://www.dianping.com/shop/112224552,五星商户,428,127,9.1,9.1,9.2,"渝利蟹肉棒,渝利秘制午餐肉,渝利手工虾滑"
纯味斑鱼府(宝山店),http://www.dianping.com/shop/66102245,五星商户,1742,158,9.2,9,9,"斑鱼大锅底,凉拌鱼皮,菌菇拼盘"
重庆高老九火锅(大世界店),http://www.dianping.com/shop/9964442,五星商户,25837,140,9,8.9,8.9,"一品嫩鲶鱼,九九秘制鹅肠,冰镇毛肚"
裕华東發.火锅酒楼,http://www.dianping.com/shop/98182943,五星商户,2060,340,9.1,8.9,9.1,"九记清汤腩净食,浓汤花胶鸡锅,脆皮炸大肠"
纯味斑鱼府(静安店),http://www.dianping.com/shop/32875447,五星商户,3546,146,9.1,8.8,8.8,"活斑鱼,拌鱼皮,斑鱼汤底"
